NDCG@5,MRR,MAP@3
0.9930484294891357,0.5,0.6666666666666666
0.9930540919303894,1.0,0.5555555555555555
0.994145929813385,0.5,1.0
0.9994215965270996,1.0,1.0
0.995856523513794,1.0,0.3333333333333333
0.9879506230354309,0.25,0.3333333333333333
0.9949760437011719,1.0,0.3333333333333333
0.9975951910018921,0.5,0.6666666666666666
0.9915845990180969,1.0,0.5555555555555555
0.9900307059288025,0.5,0.16666666666666666
0.991217315196991,0.011627906976744186,0.16666666666666666
0.9972668290138245,1.0,0.6666666666666666
0.9832802414894104,0.07142857142857142,0.16666666666666666
0.995256781578064,1.0,1.0
0.9949939846992493,0.1111111111111111,0.6666666666666666
0.9951851963996887,1.0,0.6666666666666666
0.9970589876174927,0.5,0.6666666666666666
0.988909125328064,0.3333333333333333,0.38888888888888884
0.9972307682037354,0.25,0.16666666666666666
0.9955888390541077,0.5,0.6666666666666666
0.9955877065658569,0.3333333333333333,0.38888888888888884
0.986823558807373,0.08333333333333333,0.1111111111111111
0.9959392547607422,1.0,0.3333333333333333
0.994758129119873,0.125,0.3333333333333333
0.9953309297561646,1.0,0.6666666666666666
0.9924121499061584,1.0,0.5555555555555555
0.9897828698158264,0.06666666666666667,0.16666666666666666
0.9986960887908936,1.0,0.6666666666666666
0.9880958795547485,0.2,0.16666666666666666
0.9979504346847534,1.0,0.3333333333333333
0.9887763857841492,0.16666666666666666,0.6666666666666666
0.9896854758262634,0.25,0.3333333333333333
0.9933595061302185,1.0,0.3333333333333333
0.9860387444496155,0.058823529411764705,0.0
0.9868353009223938,0.25,0.0
0.994878351688385,0.3333333333333333,0.5555555555555555
0.9827321767807007,1.0,0.5555555555555555
0.9965178966522217,1.0,0.5555555555555555
0.9896149039268494,0.3333333333333333,0.38888888888888884
0.9911065697669983,0.3333333333333333,0.1111111111111111
0.9853515028953552,0.16666666666666666,0.16666666666666666
0.9889756441116333,0.5,0.16666666666666666
0.9930374026298523,0.5,0.38888888888888884
0.9948835372924805,1.0,0.6666666666666666
0.988068163394928,0.16666666666666666,0.0
0.9944712519645691,0.3333333333333333,0.1111111111111111
0.986643373966217,0.08333333333333333,0.5555555555555555
0.9899104237556458,0.5,0.16666666666666666
0.9957019090652466,0.07692307692307693,0.6666666666666666
0.9934835433959961,1.0,0.6666666666666666
0.9968140125274658,1.0,0.6666666666666666
0.9957713484764099,0.25,0.3333333333333333
0.9916164875030518,0.25,0.0
0.9858636260032654,0.1,0.0
0.9958204627037048,0.3333333333333333,0.5555555555555555
0.992107629776001,0.5,0.16666666666666666
0.9819889664649963,0.2,0.0
0.9965444803237915,1.0,0.3333333333333333
0.9959073662757874,1.0,0.3333333333333333
0.989475667476654,0.3333333333333333,0.38888888888888884
0.9968585968017578,1.0,0.5555555555555555
0.9901955127716064,0.5,0.6666666666666666
0.9964356422424316,0.5,0.6666666666666666
